gender,industry,job_role,region,years_of_experience,education_level,salary
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
Female,Technology,Data Scientist,North America,5,Bachelor,80000
Male,Finance,Financial Analyst,Europe,3,Master,85000
Female,Healthcare,Nurse,Asia,7,Associate,50000
Male,Education,Teacher,South America,10,Bachelor,45000
Female,Manufacturing,Engineer,Europe,5,Master,65000
Male,Technology,Software Engineer,Asia,2,Bachelor,75000
Female,Finance,Bank Manager,North America,12,PhD,90000
Male,Healthcare,Doctor,South America,15,PhD,120000
Female,Education,Professor,Asia,3,Bachelor,55000
Male,Manufacturing,Technician,North America,9,Associate,60000
